student_id,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,projects,certifications,technical_skills,aptitude_score,communication_score,attendance,placed,company,package_lpa,placement_year
S0017,Mechanical,9.25,73.51,70.93,1,0,0,2,7,55.25,82.94,82.12,0,Not Placed,0.0,2024
S0018,Civil,6.25,68.63,88.13,0,1,4,4,4,91.73,93.08,79.54,1,Wipro,6.62,2026
S0019,Computer,7.45,73.69,52.81,4,0,2,1,5,93.61,59.18,64.56,0,Not Placed,0.0,2026
S0020,Mechanical,6.11,88.28,65.09,0,2,2,0,2,51.65,62.87,63.36,0,Not Placed,0.0,2026
S0021,IT,9.94,80.88,53.02,4,2,1,2,4,47.83,76.82,73.58,1,Capgemini,5.09,2026
S0022,Civil,9.72,93.38,93.89,1,3,3,3,2,98.54,77.42,72.43,1,Deloitte,3.64,2025
S0023,Mechanical,5.2,74.07,86.76,0,1,0,2,3,92.1,68.9,98.15,0,Not Placed,0.0,2026
S0024,Computer,8.53,81.1,88.36,0,1,4,1,2,93.59,64.04,91.34,1,Deloitte,10.71,2025
S0025,Computer,9.63,82.15,92.21,4,2,1,1,4,93.18,99.17,86.4,0,Not Placed,0.0,2026
S0026,Electronics,5.9,80.44,53.83,2,0,1,5,3,72.5,89.27,80.71,1,Deloitte,7.31,2025
S0027,Electronics,7.84,85.21,67.35,0,1,2,4,4,78.78,66.1,66.69,1,TCS,8.17,2026
S0028,IT,9.58,65.21,53.2,1,1,3,2,6,72.72,83.64,99.14,1,Capgemini,4.96,2026
S0029,Mechanical,5.17,77.03,59.49,0,0,2,3,4,43.07,56.17,75.0,0,Not Placed,0.0,2026
S0030,Mechanical,8.49,59.48,60.32,0,1,2,2,3,84.73,46.01,64.28,1,Infosys,4.66,2026
S0031,Electronics,6.49,71.53,71.11,0,2,5,1,2,70.32,61.15,79.75,0,Not Placed,0.0,2025
S0032,Mechanical,9.62,75.97,62.09,0,2,3,0,6,78.86,64.18,94.96,1,Capgemini,11.3,2026
S0033,Mechanical,9.86,83.05,54.54,1,0,0,1,1,70.16,40.99,95.49,1,Wipro,7.27,2025
S0034,Computer,9.72,95.87,57.54,0,0,2,2,1,69.51,88.89,60.44,1,Infosys,6.27,2026
S0035,Electronics,7.37,80.83,56.63,1,0,4,0,8,50.31,61.55,95.45,0,Not Placed,0.0,2026
S0036,Civil,9.31,86.97,93.79,0,2,2,1,1,56.72,74.83,70.86,1,Capgemini,3.35,2024
S0037,Electronics,9.22,76.77,84.17,0,0,1,3,1,49.53,44.44,61.56,1,Tech Mahindra,6.06,2026
S0038,Civil,6.6,82.27,93.55,0,2,4,2,5,51.74,50.5,93.91,1,Cognizant,6.14,2026
S0039,Computer,9.14,58.05,69.79,0,0,3,2,1,98.38,93.38,94.55,1,Capgemini,9.41,2026
S0040,IT,5.19,65.94,62.53,0,1,3,4,3,49.19,76.52,83.85,0,Not Placed,0.0,2026
S0041,Mechanical,7.98,70.56,85.92,0,1,1,0,7,56.16,97.02,82.98,1,Accenture,9.34,2024
S0042,Computer,6.15,75.32,64.68,0,2,1,2,1,75.44,99.93,92.52,0,Not Placed,0.0,2025
S0043,Mechanical,5.6,56.96,63.47,0,0,3,3,4,76.61,62.31,91.45,0,Not Placed,0.0,2025
S0044,IT,5.38,61.02,60.46,0,1,2,2,7,49.24,57.93,95.6,0,Not Placed,0.0,2026
S0045,IT,8.48,66.9,55.84,0,0,3,1,1,87.62,91.5,82.11,1,Deloitte,7.24,2026
S0046,Computer,6.7,96.78,61.54,2,2,3,0,7,87.11,99.92,98.71,1,Cognizant,4.32,2025
S0047,IT,8.62,69.25,65.99,2,2,2,4,2,54.24,77.78,99.85,0,Not Placed,0.0,2026
S0048,Civil,5.33,75.73,80.33,0,0,5,2,3,57.32,87.71,64.66,0,Not Placed,0.0,2026
S0049,IT,6.58,63.43,52.82,0,2,4,4,3,96.28,86.9,93.98,1,TCS,3.55,2024
S0050,Mechanical,7.7,81.26,59.47,0,1,4,2,8,89.54,61.32,79.99,1,Infosys,4.99,2024
S0051,Mechanical,8.95,67.07,86.41,3,0,1,2,7,81.87,74.46,75.5,1,TCS,7.11,2025
S0052,Mechanical,6.59,63.9,56.61,0,1,1,3,8,44.93,89.98,84.52,0,Not Placed,0.0,2024
S0053,Mechanical,8.13,77.21,65.42,0,0,3,2,6,65.1,81.29,62.24,1,Accenture,8.56,2024
S0054,Civil,9.43,55.24,88.91,0,2,1,1,5,73.56,41.27,80.26,1,Tech Mahindra,6.46,2024
S0055,Electronics,8.08,55.33,56.97,0,2,5,2,4,51.24,60.2,94.84,0,Not Placed,0.0,2026
S0056,Computer,6.16,64.42,53.72,0,0,1,3,7,66.89,48.67,68.54,0,Not Placed,0.0,2025
S0057,Mechanical,5.12,56.58,71.8,1,1,3,1,3,76.06,53.98,77.06,0,Not Placed,0.0,2025
S0058,IT,9.35,59.65,63.61,0,2,2,1,8,59.64,94.33,97.58,1,Capgemini,4.38,2024
S0059,Mechanical,5.11,69.57,75.35,0,3,3,0,2,86.86,42.21,77.14,0,Not Placed,0.0,2025
S0060,IT,9.37,89.51,86.17,0,1,1,4,1,90.43,53.19,74.33,1,Accenture,8.99,2025
S0061,IT,7.64,79.6,56.17,0,3,2,0,3,59.42,58.57,77.62,1,Accenture,7.09,2024
S0062,Mechanical,9.7,77.04,76.13,2,1,2,2,2,90.32,77.01,80.78,1,Capgemini,3.14,2026
S0063,Civil,8.99,67.62,72.75,0,1,4,1,1,46.21,72.05,85.28,1,Capgemini,6.14,2026
S0064,IT,9.99,95.07,56.48,1,2,0,1,5,90.26,53.1,92.03,0,Not Placed,0.0,2025
S0065,IT,6.75,72.07,78.08,0,1,5,2,3,49.17,49.85,78.08,0,Not Placed,0.0,2026
S0066,Mechanical,8.84,58.74,62.31,0,1,4,0,8,44.98,54.21,92.7,1,Infosys,7.97,2025
S0067,IT,7.01,81.53,71.95,3,1,2,2,3,78.51,70.15,81.35,1,Tech Mahindra,9.29,2024
S0068,IT,7.4,59.9,53.7,0,2,4,3,7,68.32,56.27,73.54,1,Capgemini,4.63,2026
S0069,Mechanical,8.14,69.84,70.68,2,2,0,3,7,94.47,96.86,86.32,1,Wipro,8.91,2026
S0070,Mechanical,9.37,76.82,63.79,0,1,5,0,2,61.79,67.83,88.71,1,Cognizant,7.96,2026
S0071,Computer,9.92,92.59,87.01,2,0,3,4,8,57.23,43.53,82.32,1,Accenture,3.75,2025
S0072,Civil,8.84,76.22,52.56,0,1,2,2,6,70.04,83.76,62.26,1,Infosys,3.87,2026
S0073,Civil,7.09,85.2,68.84,0,1,2,4,7,67.36,59.73,66.8,1,TCS,9.46,2025
S0074,IT,7.11,97.69,70.63,1,0,1,2,4,60.67,79.21,71.41,0,Not Placed,0.0,2025
S0075,Civil,8.69,60.65,82.63,3,2,5,2,5,81.62,56.78,71.31,1,Capgemini,11.82,2025
S0076,IT,6.19,66.81,75.84,2,1,0,4,4,85.57,74.24,86.94,0,Not Placed,0.0,2026
S0077,Computer,5.55,71.97,80.02,1,0,3,4,3,91.18,86.33,60.73,0,Not Placed,0.0,2026
S0078,Mechanical,6.77,73.14,84.97,2,0,2,1,4,98.37,95.68,90.23,1,TCS,3.92,2025
S0079,Mechanical,6.44,72.67,88.8,0,0,5,1,1,56.0,55.67,70.61,0,Not Placed,0.0,2024
S0080,Mechanical,6.48,94.03,64.12,0,3,2,1,5,82.97,60.09,72.4,0,Not Placed,0.0,2026
S0081,Civil,6.17,85.7,74.21,0,0,3,1,4,63.66,67.86,81.12,0,Not Placed,0.0,2026
S0082,Computer,5.21,81.14,87.8,0,0,3,1,1,80.62,95.63,68.64,0,Not Placed,0.0,2024
S0083,Civil,5.09,68.3,94.53,0,1,4,1,2,68.56,94.08,95.38,0,Not Placed,0.0,2026
S0084,Civil,9.94,90.42,90.03,0,0,1,4,4,99.63,45.39,63.41,1,Accenture,8.78,2025
S0085,Computer,7.14,96.07,66.72,0,0,1,0,5,83.73,47.92,77.78,0,Not Placed,0.0,2026
S0086,Computer,6.92,90.31,58.78,1,0,2,2,1,97.15,69.73,93.98,0,Not Placed,0.0,2025
S0087,Computer,8.4,55.07,72.02,0,1,4,0,4,90.1,46.4,84.63,1,Capgemini,11.48,2025
S0088,Computer,6.09,82.37,83.37,0,1,1,1,2,94.17,60.73,71.69,0,Not Placed,0.0,2026
S0089,Mechanical,9.75,57.2,72.17,0,1,3,0,4,88.87,48.9,76.83,1,Cognizant,3.89,2026
S0090,Electronics,8.93,66.08,71.74,1,1,2,1,1,67.55,78.16,88.27,1,Tech Mahindra,8.65,2025
S0091,Electronics,5.45,57.56,87.72,1,3,4,3,4,55.11,96.97,98.93,0,Not Placed,0.0,2025
S0092,Computer,7.09,80.96,66.26,0,1,5,4,5,62.22,99.8,95.73,1,Deloitte,6.53,2024
S0093,Electronics,9.4,84.52,88.69,0,0,3,1,3,41.21,62.51,73.7,1,Deloitte,9.49,2024
S0094,Electronics,9.72,59.92,68.31,0,0,2,2,8,71.44,75.94,99.93,1,TCS,5.25,2026
S0095,Computer,7.34,71.51,64.77,0,1,2,2,8,70.3,91.38,60.14,1,Tech Mahindra,6.07,2024
S0096,Electronics,8.07,74.62,70.43,0,2,0,4,1,71.52,47.05,61.11,0,Not Placed,0.0,2026
S0097,Civil,5.84,70.87,84.31,0,0,2,3,1,98.44,81.37,92.95,0,Not Placed,0.0,2025
S0098,IT,9.96,60.2,55.67,0,2,3,2,1,94.69,64.53,67.98,1,Wipro,11.63,2026
S0099,IT,6.16,73.01,58.84,0,0,3,2,1,49.7,52.37,62.43,0,Not Placed,0.0,2024
S0100,Computer,9.71,87.3,92.82,3,1,5,3,4,62.13,64.17,69.49,1,Tech Mahindra,7.94,2024
S0101,Mechanical,8.25,58.05,57.9,3,2,2,0,5,65.44,44.56,77.04,0,Not Placed,0.0,2024
S0102,Computer,8.04,58.45,75.55,0,0,3,1,8,61.63,81.72,89.22,1,TCS,4.8,2026
S0103,Mechanical,7.56,70.26,76.07,0,1,3,4,2,87.91,55.16,84.97,0,Not Placed,0.0,2025
S0104,IT,6.15,95.49,72.03,0,0,3,3,8,71.44,58.68,69.5,1,Wipro,9.22,2024
S0105,Computer,5.88,83.75,79.01,0,2,2,2,5,74.33,47.26,80.13,0,Not Placed,0.0,2026
S0106,Civil,6.1,84.18,60.34,3,0,3,2,1,91.18,91.88,97.05,0,Not Placed,0.0,2026
S0107,Electronics,5.93,70.56,74.87,0,2,3,1,6,88.36,69.61,92.6,1,Cognizant,4.89,2026
S0108,Mechanical,8.9,80.53,66.75,1,0,4,2,4,47.93,74.33,72.93,1,Wipro,10.83,2024
S0109,Electronics,6.75,55.44,79.78,0,2,5,2,6,82.83,74.17,99.29,1,Capgemini,4.19,2025
S0110,Electronics,5.29,82.35,56.36,4,1,2,1,4,66.13,64.63,88.34,0,Not Placed,0.0,2026
S0111,Computer,9.85,94.27,75.69,0,2,0,3,1,57.68,51.55,62.5,1,Cognizant,8.84,2025
S0112,Electronics,9.42,81.34,58.34,1,0,3,4,4,43.0,84.71,61.41,1,TCS,5.49,2024
S0113,Civil,9.64,92.57,62.54,0,3,3,0,1,69.23,47.62,66.74,1,Capgemini,4.6,2024
S0114,Electronics,9.97,86.13,59.84,0,0,1,2,5,61.33,46.23,89.11,1,Wipro,6.91,2026
S0115,Computer,5.87,60.18,58.23,0,0,4,1,7,55.09,82.61,67.35,0,Not Placed,0.0,2024
S0116,Civil,6.98,93.81,87.16,0,1,5,2,3,81.68,52.53,80.46,1,Capgemini,9.27,2026
S0117,IT,8.79,57.86,62.86,3,0,5,1,4,86.17,58.41,63.73,0,Not Placed,0.0,2025
S0118,Electronics,8.48,77.96,91.72,2,0,1,2,1,54.69,68.51,96.84,0,Not Placed,0.0,2026
S0119,Computer,5.77,61.11,93.65,2,3,4,4,6,42.97,66.96,73.76,0,Not Placed,0.0,2026
S0120,IT,9.08,55.5,75.71,0,3,4,1,1,90.93,82.51,96.33,1,Accenture,10.39,2025
S0121,IT,6.12,73.15,56.44,1,1,3,4,6,40.6,77.41,97.8,0,Not Placed,0.0,2025
S0122,Mechanical,6.12,67.69,66.85,0,3,3,5,8,96.23,78.66,60.25,0,Not Placed,0.0,2026
S0123,Civil,7.68,75.9,85.9,0,1,4,0,4,77.66,82.84,78.57,1,TCS,5.8,2025
S0124,Electronics,7.96,79.82,66.53,0,0,3,1,2,59.31,57.56,60.99,0,Not Placed,0.0,2026
S0125,Computer,7.9,56.88,53.92,0,2,2,5,6,54.79,59.34,96.35,1,Tech Mahindra,4.02,2026
S0126,Mechanical,5.46,60.29,75.06,0,1,3,5,1,40.54,66.28,80.74,0,Not Placed,0.0,2026
S0127,Civil,9.39,79.02,88.03,0,3,3,0,4,54.13,58.45,63.0,1,Infosys,6.1,2025
S0128,Mechanical,6.33,69.76,85.82,0,0,1,0,1,48.26,99.1,64.41,0,Not Placed,0.0,2024
S0129,Civil,5.65,86.35,57.88,1,1,5,0,2,76.73,88.84,75.34,0,Not Placed,0.0,2026
S0130,Civil,9.44,83.05,80.27,0,0,3,5,3,49.99,49.88,97.61,1,Tech Mahindra,9.44,2024
S0131,Electronics,9.78,91.36,59.92,0,0,3,0,7,71.72,40.34,87.72,1,TCS,9.54,2026
S0132,Civil,9.31,84.78,59.82,0,0,1,2,7,75.41,42.57,94.7,1,Deloitte,9.42,2026
S0133,Mechanical,9.05,73.49,89.33,0,3,3,3,2,57.88,54.64,74.66,1,Tech Mahindra,11.2,2024
S0134,Civil,8.28,83.94,61.24,0,2,1,0,5,42.1,46.86,61.73,0,Not Placed,0.0,2024
S0135,Electronics,7.75,66.84,61.85,0,2,1,2,4,42.24,72.0,98.97,0,Not Placed,0.0,2025
S0136,Electronics,5.43,68.17,50.03,0,1,3,1,2,41.58,91.48,60.69,0,Not Placed,0.0,2026
S0137,Mechanical,7.04,88.93,89.18,1,0,2,4,3,84.35,84.21,97.91,1,Infosys,4.73,2025
S0138,IT,6.86,74.2,85.67,0,0,3,1,1,59.08,52.94,74.75,0,Not Placed,0.0,2025
S0139,IT,6.3,89.33,78.23,1,0,1,2,4,87.78,63.96,60.4,1,Capgemini,6.28,2026
S0140,Civil,8.62,90.36,83.76,0,1,2,2,8,65.9,70.47,87.57,1,Tech Mahindra,10.13,2024
S0141,Computer,7.48,91.88,56.84,0,2,1,1,6,67.18,88.61,99.22,1,Capgemini,4.19,2025
S0142,Civil,5.41,94.42,70.62,1,1,5,0,2,70.77,90.35,98.63,0,Not Placed,0.0,2025
S0143,Mechanical,6.1,73.53,65.8,0,0,3,1,8,82.78,94.58,66.44,1,Accenture,5.46,2026
S0144,Mechanical,8.42,68.71,54.22,0,0,3,1,8,56.41,70.55,67.25,0,Not Placed,0.0,2024
S0145,Mechanical,5.38,80.03,71.88,2,0,2,3,3,47.3,81.66,82.62,0,Not Placed,0.0,2025
S0146,Mechanical,9.26,70.96,91.43,0,1,1,3,8,73.36,46.71,85.49,1,Capgemini,8.28,2026
S0147,Mechanical,7.48,80.85,51.8,1,3,5,2,2,59.62,73.92,89.58,0,Not Placed,0.0,2025
S0148,Electronics,7.4,85.34,63.12,0,1,2,2,5,66.55,54.92,67.24,0,Not Placed,0.0,2026
S0149,IT,7.96,84.6,59.34,1,2,2,2,7,78.82,65.9,98.36,1,Cognizant,5.32,2024
S0150,Mechanical,9.12,71.11,60.72,0,1,3,3,7,69.65,78.04,85.55,1,Cognizant,4.53,2025
S0151,Computer,6.74,62.17,90.88,0,1,0,1,4,77.22,55.42,93.88,0,Not Placed,0.0,2024
S0152,Computer,8.39,73.51,71.06,0,0,4,1,1,72.65,43.13,81.6,1,Accenture,5.69,2026
S0153,Computer,7.83,61.13,70.98,0,2,3,1,3,84.39,40.61,76.57,1,TCS,5.21,2025
S0154,Computer,6.34,93.27,84.23,0,2,2,2,2,82.36,41.33,99.09,1,Deloitte,10.22,2025
S0155,Electronics,9.39,69.87,56.95,0,0,1,1,4,72.05,40.5,83.28,1,Deloitte,8.69,2024
S0156,Computer,8.99,61.64,71.93,0,1,1,1,2,80.73,46.62,94.67,1,TCS,7.46,2025
S0157,Mechanical,8.29,56.09,69.35,0,1,4,0,4,92.41,54.37,98.13,0,Not Placed,0.0,2025
S0158,Civil,9.25,82.77,76.86,0,1,3,3,7,65.94,53.27,87.01,1,Cognizant,9.77,2026
S0159,Computer,9.34,82.39,94.98,2,3,2,1,8,64.77,99.21,81.96,1,Wipro,8.19,2024
S0160,Electronics,8.54,69.65,84.63,0,1,1,0,5,85.85,58.36,60.14,0,Not Placed,0.0,2026
S0161,Electronics,9.19,58.08,67.9,0,1,3,1,2,74.95,47.65,61.6,0,Not Placed,0.0,2025
S0162,Computer,8.49,72.61,87.24,0,0,3,1,5,44.26,72.73,68.03,0,Not Placed,0.0,2025
S0163,Civil,8.4,68.38,57.68,0,0,2,2,6,93.53,91.48,67.44,1,Cognizant,7.16,2026
S0164,Computer,8.09,84.12,51.37,3,0,2,1,6,41.85,80.68,70.19,0,Not Placed,0.0,2025
S0165,Electronics,8.76,81.05,59.2,0,0,2,1,8,84.9,57.76,72.2,1,Accenture,6.29,2024
S0166,IT,5.79,70.68,65.32,3,2,3,2,7,85.53,73.7,74.4,0,Not Placed,0.0,2026
S0167,Mechanical,9.4,64.37,72.98,0,2,5,1,3,97.19,82.89,76.82,1,Deloitte,5.69,2026
S0168,Electronics,9.36,97.49,77.68,1,0,1,0,5,43.25,83.69,63.95,0,Not Placed,0.0,2025
S0169,Computer,5.15,74.52,90.98,0,2,3,4,4,75.81,79.99,61.69,0,Not Placed,0.0,2026
S0170,Mechanical,9.13,84.6,72.94,2,0,2,1,3,65.67,92.25,86.96,0,Not Placed,0.0,2026
S0171,Computer,5.64,61.04,72.56,0,0,2,1,2,59.84,92.21,81.49,0,Not Placed,0.0,2025
S0172,Computer,6.68,75.88,52.26,0,0,2,0,2,45.42,74.74,77.77,0,Not Placed,0.0,2026
S0173,IT,8.72,56.18,51.57,0,1,4,2,4,73.76,65.79,85.38,1,Wipro,9.5,2025
S0174,Mechanical,5.8,76.73,74.8,0,0,3,2,1,68.74,78.49,93.11,0,Not Placed,0.0,2025
S0175,Mechanical,9.09,96.45,69.72,2,1,3,2,8,46.27,89.09,77.11,1,Infosys,5.51,2025
S0176,IT,9.16,71.52,87.76,0,1,2,3,1,76.75,40.34,85.64,0,Not Placed,0.0,2026
S0177,Electronics,7.54,56.68,57.23,0,3,1,0,8,84.28,99.52,98.14,1,Accenture,7.0,2025
S0178,Computer,5.03,56.33,51.12,1,0,1,1,2,86.04,50.97,93.58,0,Not Placed,0.0,2024
S0179,Civil,6.44,71.68,70.21,0,0,4,3,8,94.32,68.21,77.04,1,Capgemini,7.45,2026
S0180,Computer,8.08,61.88,60.69,3,0,1,4,7,64.57,92.32,85.79,0,Not Placed,0.0,2026
S0181,Computer,9.91,56.0,52.23,1,1,3,0,7,97.18,53.5,67.08,1,Infosys,4.42,2026
S0182,Electronics,8.16,87.52,82.61,0,0,2,2,4,91.93,68.61,82.42,0,Not Placed,0.0,2025
S0183,Computer,6.3,74.72,55.02,2,2,2,1,1,57.79,47.95,99.25,0,Not Placed,0.0,2024
S0184,IT,8.17,67.44,77.37,0,1,3,0,5,49.56,63.7,80.73,1,Tech Mahindra,6.61,2024
S0185,IT,7.7,93.7,62.65,0,1,2,1,2,66.12,50.63,97.11,0,Not Placed,0.0,2026
S0186,Mechanical,8.9,59.99,57.81,0,1,1,0,6,64.11,61.82,76.29,1,Infosys,5.62,2024
S0187,Civil,5.53,96.1,67.09,0,0,2,3,5,74.54,62.41,99.95,0,Not Placed,0.0,2026
S0188,Computer,8.81,68.5,86.07,1,0,3,2,4,75.0,99.59,83.17,1,Cognizant,5.7,2025
S0189,Computer,7.71,93.2,67.64,2,0,3,0,6,85.0,99.69,61.69,1,Cognizant,3.22,2026
S0190,Electronics,9.81,80.93,83.78,0,1,2,0,5,70.59,46.89,83.47,1,Wipro,11.43,2026
S0191,IT,6.71,90.55,55.65,0,0,3,3,1,46.29,83.56,70.98,0,Not Placed,0.0,2026
S0192,Civil,8.16,97.31,84.77,3,0,1,0,8,91.5,43.1,61.3,0,Not Placed,0.0,2024
S0193,Mechanical,9.66,67.4,60.66,0,3,2,2,7,58.59,41.81,92.83,1,Wipro,11.87,2026
S0194,IT,5.51,96.33,80.48,0,0,0,1,1,98.28,46.32,71.03,0,Not Placed,0.0,2024
S0195,Mechanical,9.69,71.75,75.46,0,2,4,2,6,47.07,97.93,91.86,1,Capgemini,10.17,2024
S0196,Electronics,8.44,71.58,91.81,2,2,2,1,8,97.5,96.45,71.53,1,TCS,8.07,2025
S0197,Electronics,5.34,69.64,67.43,0,0,2,0,8,45.46,51.64,67.77,0,Not Placed,0.0,2026
S0198,Computer,6.5,78.28,52.98,1,0,2,1,8,53.86,49.7,98.96,0,Not Placed,0.0,2024
S0199,Civil,8.54,61.63,50.86,1,0,1,0,3,42.79,54.43,74.47,0,Not Placed,0.0,2026
S0200,Mechanical,5.34,78.81,87.21,0,1,3,1,7,82.31,70.93,84.06,0,Not Placed,0.0,2024
S0201,IT,7.91,78.29,73.61,0,1,1,2,2,91.02,74.18,84.4,1,Capgemini,11.76,2025
S0202,Electronics,6.73,87.76,84.89,2,2,1,1,6,66.04,53.3,82.42,0,Not Placed,0.0,2024
S0203,Computer,8.1,90.85,60.55,0,3,3,0,4,95.71,85.4,96.59,1,Infosys,11.33,2026
S0204,Computer,5.23,73.94,65.53,1,1,2,2,2,75.42,58.57,86.98,0,Not Placed,0.0,2024
S0205,Mechanical,9.36,68.0,51.35,3,0,4,2,5,77.8,95.33,76.15,0,Not Placed,0.0,2026
S0206,Electronics,9.87,66.15,93.27,0,0,3,5,7,90.73,79.4,94.5,1,Infosys,3.43,2025
S0207,Civil,9.84,63.37,80.05,1,2,2,2,4,57.81,66.18,67.24,1,Wipro,5.93,2026
S0208,Electronics,8.75,57.48,91.99,1,0,3,2,4,61.26,87.39,81.77,0,Not Placed,0.0,2025
S0209,Mechanical,5.65,69.73,61.95,2,0,1,2,1,94.36,89.07,98.02,0,Not Placed,0.0,2025
S0210,Mechanical,8.79,66.62,77.52,0,2,3,4,5,94.06,57.43,85.02,1,Capgemini,7.13,2026
S0211,Electronics,5.12,96.56,80.53,0,1,2,3,1,98.59,60.38,92.68,1,Capgemini,7.81,2026
S0212,Mechanical,5.11,78.98,64.29,0,3,2,1,1,94.11,96.16,86.14,0,Not Placed,0.0,2025
S0213,Electronics,6.62,69.93,88.16,1,1,3,1,8,47.64,49.88,93.57,0,Not Placed,0.0,2026
S0214,IT,7.44,79.96,92.62,0,0,4,1,7,89.42,42.53,97.78,1,Infosys,5.92,2024
S0215,Electronics,8.85,60.99,89.82,1,3,5,2,3,64.59,67.24,70.92,1,Infosys,4.51,2026
S0216,Electronics,8.42,74.09,83.26,0,0,3,3,1,99.45,88.07,66.79,1,Infosys,6.18,2025
S0217,Mechanical,7.23,81.93,62.49,0,0,2,2,2,68.34,86.3,79.36,1,Cognizant,5.01,2024
S0218,Mechanical,6.37,76.02,62.67,0,1,2,0,4,73.23,95.17,88.07,1,TCS,10.18,2025
S0219,Computer,9.99,72.28,93.35,1,0,2,3,7,71.79,71.99,69.09,1,Deloitte,5.83,2026
S0220,Computer,7.13,97.74,50.46,0,1,3,3,1,59.3,46.0,60.16,0,Not Placed,0.0,2026
S0221,IT,7.26,92.85,82.22,0,0,2,1,6,44.5,75.32,73.72,0,Not Placed,0.0,2025
S0222,Computer,5.82,81.81,81.78,0,1,5,2,2,93.74,86.7,98.75,1,Wipro,5.57,2026
S0223,Electronics,8.97,79.48,78.02,1,1,2,1,5,88.16,45.6,87.8,1,Capgemini,4.84,2025
S0224,Mechanical,8.47,81.69,94.55,0,2,2,4,4,48.37,50.36,76.05,1,Cognizant,6.75,2026
S0225,Computer,6.1,63.66,64.03,0,2,2,3,7,86.61,40.74,67.7,0,Not Placed,0.0,2024
S0226,Computer,5.41,71.99,65.3,3,0,4,2,6,77.55,75.62,74.24,0,Not Placed,0.0,2026
S0227,IT,8.4,56.7,53.55,1,1,3,2,7,64.55,93.2,66.79,0,Not Placed,0.0,2024
S0228,IT,8.27,75.45,69.93,3,1,3,4,7,55.24,80.24,64.25,1,Deloitte,7.61,2025
S0229,Electronics,6.37,78.35,61.75,0,0,2,2,6,91.58,98.92,96.27,0,Not Placed,0.0,2026
S0230,Mechanical,9.75,64.79,65.45,0,2,4,1,5,82.01,43.78,99.91,1,Cognizant,6.09,2026
S0231,IT,5.76,96.45,87.56,2,2,0,3,6,72.86,94.18,66.56,0,Not Placed,0.0,2026
S0232,Computer,7.16,94.11,92.1,0,0,4,1,2,76.57,88.84,62.18,1,Wipro,7.5,2026
S0233,Mechanical,9.72,86.05,58.36,1,1,3,1,8,45.46,58.85,73.19,1,Capgemini,7.38,2026
S0234,Mechanical,7.1,77.94,66.76,0,0,2,4,7,68.44,98.41,78.47,0,Not Placed,0.0,2024
S0235,Computer,8.19,92.41,91.79,0,1,3,3,5,51.62,57.28,68.19,1,Cognizant,5.49,2025
S0236,IT,6.99,60.62,52.78,0,0,3,1,7,52.5,93.36,72.06,0,Not Placed,0.0,2026
S0237,Computer,6.37,88.99,54.16,0,3,0,1,6,79.68,92.84,68.03,0,Not Placed,0.0,2026
S0238,Mechanical,9.92,60.37,57.33,0,2,4,1,5,94.68,85.46,90.97,1,Tech Mahindra,6.85,2026
S0239,Civil,7.05,89.15,76.78,0,1,2,1,5,64.23,73.81,88.5,1,Deloitte,11.02,2026
S0240,Civil,9.47,66.86,56.77,4,1,2,0,1,52.46,47.2,85.4,0,Not Placed,0.0,2026
S0241,Electronics,6.15,92.71,93.56,0,3,1,3,1,78.92,71.92,75.49,1,Tech Mahindra,6.43,2026
